Temperature,Stage,Development_Time,Switch,Temp1,Temp2,Switch_Stage,Switch_Times,Exact_Time,Start_Time,Exact_Switch_Time,weekday_exact,time_exact,weekday_switch,time_switch
26.0,20,28.600573109895578,True,26.0,28.0,0.0,0.0,2024-09-17 13:36:02.063196,2024-09-16 09:00:00,2024-09-16 09:00:00.000000,1,13:36:02.063196,0.0,09:00:00
32.0,20,28.6124631762772,True,32.0,28.0,0.0,0.011890066381622984,2024-09-17 13:36:44.867435,2024-09-16 09:00:00,2024-09-16 09:00:42.804239,1,13:36:44.867435,0.0,09:00:42.804239
28.0,20,28.648989833724762,True,28.0,32.0,17.0,21.878739750843813,2024-09-17 13:38:56.363401,2024-09-16 09:00:00,2024-09-17 06:52:43.463103,1,13:38:56.363401,1.0,06:52:43.463103
26.0,20,28.65659441036538,True,26.0,28.0,1.0,0.13358358006353344,2024-09-17 13:39:23.739877,2024-09-16 09:00:00,2024-09-16 09:08:00.900888,1,13:39:23.739877,0.0,09:08:00.900888
26.0,20,28.746198590971407,True,26.0,28.0,2.0,0.5122271164408427,2024-09-17 13:44:46.314927,2024-09-16 09:00:00,2024-09-16 09:30:44.017619,1,13:44:46.314927,0.0,09:30:44.017619
26.0,20,28.881144075490035,True,26.0,28.0,3.0,1.0811024876160957,2024-09-17 13:52:52.118672,2024-09-16 09:00:00,2024-09-16 10:04:51.968955,1,13:52:52.118672,0.0,10:04:51.968955
26.0,20,28.961288548991092,True,26.0,28.0,8.0,4.033355009512004,2024-09-17 13:57:40.638776,2024-09-16 09:00:00,2024-09-16 13:02:00.078034,1,13:57:40.638776,0.0,13:02:00.078034
26.0,20,29.056135968878195,True,26.0,28.0,4.0,1.7622785016273714,2024-09-17 14:03:22.089488,2024-09-16 09:00:00,2024-09-16 10:45:44.202606,1,14:03:22.089488,0.0,10:45:44.202606
26.0,20,29.107552521414505,True,26.0,28.0,5.0,2.334824643271693,2024-09-17 14:06:27.189077,2024-09-16 09:00:00,2024-09-16 11:20:05.368716,1,14:06:27.189077,0.0,11:20:05.368716
26.0,20,29.13590698827593,True,26.0,28.0,10.0,6.46078536648626,2024-09-17 14:08:09.265158,2024-09-16 09:00:00,2024-09-16 15:27:38.827319,1,14:08:09.265158,0.0,15:27:38.827319
26.0,20,29.15175861659135,True,26.0,28.0,6.0,2.913535517362787,2024-09-17 14:09:06.331020,2024-09-16 09:00:00,2024-09-16 11:54:48.727863,1,14:09:06.331020,0.0,11:54:48.727863
